2026-07-03 02:15:58	cid=47	cas=1460-34-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=1460-34-0&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:59	cid=48	cas=18465-19-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=18465-19-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:00	cid=49	cas=759-05-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=759-05-7&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:00	cid=50	cas=73803-83-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=73803-83-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:01	cid=51	cas=328-50-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=328-50-7&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:16:01	cid=55	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:16:01	cid=56	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:16:02	cid=57	cas=42187-47-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=42187-47-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:03	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:03	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:03	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:04	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:04	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:08	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:08	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:09	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:09	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:09	cid=58	cas=600-18-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=600-18-0&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:16:10	cid=59	cas=2553-59-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=2553-59-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:10	cid=60	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:16:10	cid=61	cas=138-81-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=138-81-8&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:11	cid=62	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:16:11	cid=63	cas=24317-81-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=24317-81-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:11	cid=64	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:16:12	cid=65	cas=824-69-1	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=824-69-1&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:16:13	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:13	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:14	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:14	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:14	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:19	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:19	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:19	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:16:19	cid=66	cas=583-78-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=583-78-8&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:16:19	cid=67	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:16:20	cid=68	cas=141816-32-2	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=141816-32-2&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:21	cid=69	cas=7244-95-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=7244-95-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:21	cid=70	cas=816-66-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=816-66-0&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:16:22	cid=71	cas=3184-35-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3184-35-8&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:16:22	cid=72	cas=99-50-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=99-50-3&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:16:23	cid=73	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:16:23	cid=75	cas=352-92-1	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=352-92-1&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:24	cid=76	cas=67034-83-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=67034-83-7&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:16:24	cid=77	cas=3237-44-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3237-44-3&Units=SI&Mask=480	reason=nist_not_found	message=
